Symbol,Description
UNIC,PT Unggul Indah Cahaya Tbk
UNSP,PT Bakrie Sumatera Plantations Tbk
VAST,PT Vastland Indonesia Tbk
VICI,PT Victoria Care Indonesia Tbk
VICO,PT Victoria Investama Tbk
VINS,PT Victoria Insurance Tbk
VOKS,PT Voksel Electric Tbk
VRNA,PT Mizuho Leasing Indonesia Tbk
WGSH,PT Wira Global Solusi Tbk
WINE,PT Hatten Bali Tbk
WINS,PT Wintermar Offshore Marine Tbk
WOMF,PT Wahana Ottomitra Multiartha Tbk
XSPI,Dana Investasi Real Estat Simas Plaza Indonesia Registered Units
YOII,PT Asuransi Digital Bersama Tbk
YPAS,PT Yanaprima Hastapersada Tbk
YULE,PT Yulie Sekuritas Indonesia Tbk
YUPI,Pt Yupi Indo Jelly Gum Tbk
ZONE,PT Mega Perintis Tbk
